Introduction	序章
Schultz appears to be an affable old coot, content to smoke his pipe. There's a hardness behind his eyes, however, that gives you reason to believe that he's no pushover.	Schultz appears to be an affable old coot, content to smoke his pipe. There's a hardness behind his eyes, however, that gives you reason to believe that he's no pushover.
Adventure	Adventure
The Baron	The Baron
The Brigands 	The Brigands 
The Castle 	The Castle 
Danger	Danger
The Guild Hall	The Guild Hall
The Inn	The Inn
The Merchant 	The Merchant 
The Mountain 	The Mountain 
Prisoners	Prisoners
Treasure	Treasure
Wolfgang	Wolfgang
Unhand that sheriff!	Unhand that sheriff!
"You'll need to talk to the Baron about that.  Or go ask Wolfgang down at the Guild Hall, which is just down the  street."	"You'll need to talk to the Baron about that.  Or go ask Wolfgang down at the Guild Hall, which is just down the  street."
"So maybe you're going to be a hero?  Well, we could surely use one around here, what with all the brigands."	"So maybe you're going to be a hero?  Well, we could surely use one around here, what with all the brigands."
"Baron Stefan keeps mostly to himself at his castle north of here.  We haven't seen him here in town for years."	"Baron Stefan keeps mostly to himself at his castle north of here.  We haven't seen him here in town for years."
"There's a whole band of brigands hiding out somewhere in the mountains around us.  They robbed a merchant just last week.  Got a fair amount of treasure, I hear."	"There's a whole band of brigands hiding out somewhere in the mountains around us.  They robbed a merchant just last week.  Got a fair amount of treasure, I hear."
"My friend, this world's filled with dangers.  Sometimes I think it might be better to choose your danger, rather than sitting around, waiting for it, as I seem to do."	"My friend, this world's filled with dangers.  Sometimes I think it might be better to choose your danger, rather than sitting around, waiting for it, as I seem to do."
"But enough of this philosophical rambling.  I am content enough to be Sheriff of Spielburg."	"But enough of this philosophical rambling.  I am content enough to be Sheriff of Spielburg."
"The Guild Hall is at the southwest corner of town.  If you're looking for work, that's a good place to go." 	"The Guild Hall is at the southwest corner of town.  If you're looking for work, that's a good place to go." 
"Go talk to the Innkeeper.  He will help you there."	"Go talk to the Innkeeper.  He will help you there."
"Just next to the Inn is a small Magic Shop.  The  owner, Zara, will let you in if you have some abilities in that area.  She's a strange one, all right!"	"Just next to the Inn is a small Magic Shop.  The  owner, Zara, will let you in if you have some abilities in that area.  She's a strange one, all right!"
"The one who was robbed?  He's staying at the Inn, I believe."	"The one who was robbed?  He's staying at the Inn, I believe."
"The monsters come down from the mountains every winter, but they're usually gone by now.  The Baron just doesn't have enough men to handle them."	"The monsters come down from the mountains every winter, but they're usually gone by now.  The Baron just doesn't have enough men to handle them."
"Wolfgang is the one to talk to about monsters.  He's had a lot of experience with them."	"Wolfgang is the one to talk to about monsters.  He's had a lot of experience with them."
"You should know. You came down from there."	"You should know. You came down from there."
"I am Sheriff Schultz Meistersson, and this is Otto von Goon, my  assistant." 	"I am Sheriff Schultz Meistersson, and this is Otto von Goon, my  assistant." 
"Otto is a big help to me.  He's very smart for a Goon.  His prisoners only suffer a few broken bones when he grabs them."	"Otto is a big help to me.  He's very smart for a Goon.  His prisoners only suffer a few broken bones when he grabs them."
"It took a bit of doing to teach him to bring prisoners back alive, but he hardly ever forgets, now."	"It took a bit of doing to teach him to bring prisoners back alive, but he hardly ever forgets, now."
"It's simple.  When somone breaks the law, and we catch them, we hold them prisoner."	"It's simple.  When somone breaks the law, and we catch them, we hold them prisoner."
"A policeman's lot is not a happy one." 	"A policeman's lot is not a happy one." 
"This town was named after the Barons of Spielburg.  It used to be a lively place to be, before the brigands came and drove all the business away."	"This town was named after the Barons of Spielburg.  It used to be a lively place to be, before the brigands came and drove all the business away."
"You can find a place to stay at the Inn next door.  You can learn about jobs available at the GuildHall down the street.  If you are interested in magic, you should visit the Magic Shop.  There is still plenty to do and see here in Spielburg."	"You can find a place to stay at the Inn next door.  You can learn about jobs available at the GuildHall down the street.  If you are interested in magic, you should visit the Magic Shop.  There is still plenty to do and see here in Spielburg."
"Obtaining treasure involves putting yourself in danger.  If you're brave, foolish, or lucky, you might get some treasure."	"Obtaining treasure involves putting yourself in danger.  If you're brave, foolish, or lucky, you might get some treasure."
"Wolfgang, down at the Guild hall, is the one to talk to about monsters. He's had a lot of experience with them."	"Wolfgang, down at the Guild hall, is the one to talk to about monsters. He's had a lot of experience with them."
The ugly statue seems to be watching you. 	The ugly statue seems to be watching you. 
As you lay your hands on the ugly statue, a swirling miasma of emotions overcomes you.  You feel the sculptor's pain and suffering, his disgust with his condition, and the conflicting urges to enjoy and flee from his talent.	As you lay your hands on the ugly statue, a swirling miasma of emotions overcomes you.  You feel the sculptor's pain and suffering, his disgust with his condition, and the conflicting urges to enjoy and flee from his talent.
No, that's not it.  The real reason for the disgust you feel has more to do with the pigeon droppings on your hands.  You surreptitiously wipe them clean. 	No, that's not it.  The real reason for the disgust you feel has more to do with the pigeon droppings on your hands.  You surreptitiously wipe them clean. 
The handsome statue seems to be watching you. 	The handsome statue seems to be watching you. 
The statue feels cold and clean, and smells faintly of soap. 	The statue feels cold and clean, and smells faintly of soap. 
If this is the town water supply, no wonder nobody ever comes here. 	If this is the town water supply, no wonder nobody ever comes here. 
Gosh!  That's an authentic "whamma blamma three scoops of mana hilarious gregarious floats in the airious" yoyo! 	Gosh!  That's an authentic "whamma blamma three scoops of mana hilarious gregarious floats in the airious" yoyo! 
Are you crazy?  That goon would tear you limb from limb if you tried to steal his yoyo! 	Are you crazy?  That goon would tear you limb from limb if you tried to steal his yoyo! 
Are you crazy?  That goon would rend your spleen asunder if you did anything to his yoyo! 	Are you crazy?  That goon would rend your spleen asunder if you did anything to his yoyo! 
"Your kindness overwhelms me.  I can tell you will someday be a great hero."	"Your kindness overwhelms me.  I can tell you will someday be a great hero."
"Now you will have a secret.  Among the items they stole from me was a magic rug.  I alone know the words to command it."	"Now you will have a secret.  Among the items they stole from me was a magic rug.  I alone know the words to command it."
"If you help recover my treasure, I will take you, Shameen, and Shema back to our land by way of the flying carpet.  Shapeir needs powerful heroes, too!"	"If you help recover my treasure, I will take you, Shameen, and Shema back to our land by way of the flying carpet.  Shapeir needs powerful heroes, too!"
"Oh, it is indeed sad and dangerous times we live in when a man who struggles daily to keep from starving should be robbed of all his earthly possessions!" 	"Oh, it is indeed sad and dangerous times we live in when a man who struggles daily to keep from starving should be robbed of all his earthly possessions!" 
"Hello again, my friend."	"Hello again, my friend."
"The band of brigands ambushed us just as we crossed the pass into the valley. There were about twelve brigands, including a huge minotaur."	"The band of brigands ambushed us just as we crossed the pass into the valley. There were about twelve brigands, including a huge minotaur."
"There was also a leader, and some sort of wizard.  They first used some sort of magic which blinded us. Then, they overwhelmed my six guards and my assistants."	"There was also a leader, and some sort of wizard.  They first used some sort of magic which blinded us. Then, they overwhelmed my six guards and my assistants."
